epoch,segment,local_epoch,loss,rmse,implicit_grad_seconds,cumulative_backward_seconds,grad_rate_norm,n_adjoint_queries,sto_cache_hit_rate,sto_cache_hits,sto_exact_queries,sto_kappa_recomputes,rho_max_seen,kappa,eta_max_seen,reason
0,0,0,0.005201500840485096,0.07212143121489684,0.053032240000902675,0.053032240000902675,0.008558575654622333,100,0.0,0,100,0,nan,nan,nan,exact
1,0,1,0.005180092994123697,0.07197286290070513,0.054525004990864545,0.10755724499176722,0.008489993528004615,100,0.0,0,100,0,nan,nan,nan,exact
2,0,2,0.00515842204913497,0.07182215569818946,0.05369064099795651,0.16124788598972373,0.008462388025240136,100,0.0,0,100,0,nan,nan,nan,exact
3,0,3,0.005136198364198208,0.07166727540654945,0.06130753400793765,0.22255541999766137,0.008445885292535048,100,0.0,0,100,0,nan,nan,nan,exact
4,0,4,0.005113501567393541,0.07150875168392706,0.05888448499899823,0.2814399049966596,0.008434206364601122,100,0.0,0,100,0,nan,nan,nan,exact
5,0,5,0.00509038707241416,0.07134694858516487,0.05542769499879796,0.33686759999545757,0.008424513348756345,100,0.0,0,100,0,nan,nan,nan,exact
6,0,6,0.0050668781623244286,0.0711820072934476,0.0986603179917438,0.43552791798720136,0.008414942212907424,100,0.0,0,100,0,nan,nan,nan,exact
7,0,7,0.005042969714850187,0.07101386987659655,0.058527556000626646,0.494055473987828,0.008403912528348262,100,0.0,0,100,0,nan,nan,nan,exact
8,0,8,0.005018636118620634,0.07084233281464293,0.056173024990130216,0.5502284989779582,0.008390140767224094,100,0.0,0,100,0,nan,nan,nan,exact
9,0,9,0.004993846639990807,0.07066715389762634,0.05300044399336912,0.6032289429713273,0.008372885488780511,100,0.0,0,100,0,nan,nan,nan,exact
10,0,10,0.0049685831181705,0.0704881771517075,0.06586836799397133,0.6690973109652987,0.008352064799753518,100,0.0,0,100,0,nan,nan,nan,exact
11,0,11,0.004942843224853277,0.07030535701390953,0.05917142100224737,0.728268731967546,0.008328297882682826,100,0.0,0,100,0,nan,nan,nan,exact
12,0,12,0.004916627891361713,0.07011867006269952,0.061820892005926,0.790089623973472,0.008302555348000234,100,0.0,0,100,0,nan,nan,nan,exact
13,0,13,0.004889937117695808,0.0699280853283987,0.10098810800991487,0.8910777319833869,0.008276020543490924,100,0.0,0,100,0,nan,nan,nan,exact
14,0,14,0.004862757865339518,0.069733477364459,0.08574374399904627,0.9768214759824332,0.00824975924169185,100,0.0,0,100,0,nan,nan,nan,exact
15,0,15,0.004835072904825211,0.06953468850023857,0.08233228599419817,1.0591537619766314,0.008224532561944655,100,0.0,0,100,0,nan,nan,nan,exact
16,0,16,0.004806864075362682,0.06933155180264382,0.08562123200681526,1.1447749939834466,0.008200662706374129,100,0.0,0,100,0,nan,nan,nan,exact
