epoch,segment,local_epoch,mode,loss,rmse,implicit_grad_seconds,n_adjoint_queries,used_cache,sto_cache_hits,sto_exact_queries,sto_cache_hit_rate,rho,rho_max_seen,kappa,eta,eta_max_seen,reason,grad_rate_norm,sto_kappa_recomputes,sto_warning_queries,midpoint_x,midpoint_y
0,0,0,exact,0.00026835210155695677,0.016381456026768708,0.05406697899161372,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0009364543691275067,0,0,0.5,-0.17103464455077652
1,0,1,exact,0.0002665006322786212,0.016324847082855667,0.02495003199146595,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0009272125921770454,0,0,0.5001843679942674,-0.17069461539133926
2,0,2,exact,0.0002647332730703056,0.016270626081079535,0.03381973100476898,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.000918018410383725,0,0,0.5003704076791357,-0.17035085626387092
3,0,3,exact,0.0002630458620842546,0.01621868866722136,0.025877509993733838,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0009088323501603094,0,0,0.5005593145796893,-0.17000132577242152
4,0,4,exact,0.0002614457916934043,0.01616928544164535,0.02649340100469999,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0008997154650034173,0,0,0.5007492276747453,-0.16964849811213537
5,0,5,exact,0.0002599353319965303,0.01612251010223068,0.024163590001990087,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0008906674147238789,0,0,0.5009405814201464,-0.16929171673075874
6,0,6,exact,0.000258520565694198,0.016078574740759768,0.024932261992944404,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.000881760226420406,0,0,0.5011313583283515,-0.16893375823013712
7,0,7,exact,0.00025720291887409985,0.016037547158904937,0.1862338390055811,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0008730417981817716,0,0,0.5013200700155088,-0.16857668672669357
8,0,8,exact,0.00025598215870559216,0.01599944244983531,0.022829783003544435,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0008645833807266773,0,0,0.5015044504704341,-0.16822366785906856
9,0,9,exact,0.00025485377409495413,0.015964140255427292,0.02277200500248,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0008564493218534879,0,0,0.501682111343258,-0.16787805907117084
10,0,10,exact,0.00025380830629728734,0.015931362349067557,0.027497849994688295,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0008487290362171468,0,0,0.501849475160089,-0.16754489336551698
11,0,11,exact,0.0002528299519326538,0.015900627406887243,0.02408534700225573,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0008415030582388981,0,0,0.5020029660600202,-0.167229222259937
12,0,12,exact,0.0002518987166695297,0.015871317420728805,0.03729344499879517,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0008348380294885335,0,0,0.502139072062812,-0.16693602398589663
13,0,13,exact,0.0002509909973014146,0.015842695392559142,0.027236449997872114,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0008287767072568812,0,0,0.5022547631514211,-0.166669614541131
14,0,14,exact,0.0002500826958566904,0.015814003157223994,0.029493474008631893,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0008233325594893719,0,0,0.502348088075571,-0.16643280311975106
15,0,15,exact,0.00024915370158851147,0.015784603307923563,0.03817905100004282,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0008184899030971513,0,0,0.5024182953360631,-0.16622670958225047
