epoch,segment,local_epoch,mode,loss,rmse,implicit_grad_seconds,n_adjoint_queries,used_cache,sto_cache_hits,sto_exact_queries,sto_cache_hit_rate,rho,rho_max_seen,kappa,eta,eta_max_seen,reason,grad_rate_norm,sto_kappa_recomputes,sto_warning_queries,midpoint_x,midpoint_y
0,0,0,sto,0.00026835210155695677,0.016381456026768708,0.10503187699941918,20,0,0,20,0.0,nan,nan,inf,nan,nan,cold_start,0.0009364543691275067,0,0,0.5,-0.17103464455077652
1,0,1,sto,0.0002665006322786212,0.016324847082855667,0.015347296008258127,20,1,20,0,1.0,0.000253872843778678,0.0051082061706325356,1029.28552214689,0.2613076425676524,4.8410949077298095,cache_hit,0.000927840359084855,0,0,0.5001843679942674,-0.17069461539133926
2,0,2,sto,0.0002647333312779665,0.016270627869813953,0.013511694996850565,20,1,20,0,1.0,0.0005101949995222069,0.01026709209883852,1029.28552214689,0.525136326479947,9.730709584564693,cache_hit,0.0009193186414044594,0,0,0.5003704039512222,-0.17035086886245668
3,0,3,sto,0.0002630469389259815,0.01621872186474574,0.014483222999842837,20,1,20,0,1.0,0.0007692115870296158,0.015504439982211394,1029.28552214689,0.7917383499972159,14.695304598388825,cache_hit,0.0009108623294414804,0,0,0.5005591226307655,-0.17000161888256185
4,0,4,sto,0.00026144739240407944,0.016169334940067247,0.01346438200562261,20,1,20,0,1.0,0.0010309939420644087,0.020780903293074766,1029.28552214689,1.0611871379880453,19.697985237366375,cache_hit,0.0009025188571247463,0,0,0.5007489582549812,-0.1696489351285831
5,0,5,sto,0.00025993905728682876,0.01612262563253358,0.013594358999398537,20,1,20,0,1.0,0.0012939181302178996,0.026082153218024172,1029.28552214689,1.3318111982766583,24.72788953477205,cache_hit,0.0008943161390268912,0,0,0.5009393310422455,-0.16929357578244014
6,0,6,sto,0.0002585263573564589,0.0160787548447154,0.013788271011435427,20,1,20,0,1.0,0.00155470354123814,0.031375404824157654,1029.28552214689,1.6002338462269177,29.74882953683393,cache_hit,0.0008863002850087777,0,0,0.5011289349805824,-0.1689373368033222
7,0,7,sto,0.0002572106895968318,0.016037789423634163,0.012807983992388472,20,1,20,0,1.0,0.0018133988353663281,0.03660382660531136,1029.28552214689,1.866505167120593,34.711484681173,cache_hit,0.000878532100904101,0,0,0.5013155055856492,-0.16858336955861025
8,0,8,sto,0.00025599103537388146,0.015999719852981223,0.0137523089942988,20,1,20,0,1.0,0.0020651356597146263,0.041718699010521214,1029.28552214689,2.125614235813531,39.570476168204586,cache_hit,0.0008710559462486671,0,0,0.5014970712302518,-0.16823444024399806
9,0,9,sto,0.0002548611373640597,0.015964370872792316,0.012945574999321252,20,1,20,0,1.0,0.0023051672497745664,0.046636385296314815,1029.28552214689,2.3726752763201246,44.24530520087336,cache_hit,0.0008639458059606584,0,0,0.5016702309125964,-0.16789532553507333
10,0,10,sto,0.00025380990700796247,0.015931412586709392,0.012911047000670806,20,1,20,0,1.0,0.0025305470923874555,0.05127701995574483,1029.28552214689,2.604655485305316,48.66622358644403,cache_hit,0.0008572519240435199,0,0,0.5018316432352413,-0.16757074079838474
11,0,11,sto,0.0002528203767724335,0.01590032631025016,0.014068071002839133,20,1,20,0,1.0,0.0027337828871629158,0.055534844696311196,1029.28552214689,2.813843146449714,52.73174860848373,cache_hit,0.0008510476899915806,0,0,0.5019767822492324,-0.16726707015847425
12,0,12,sto,0.00025186972925439477,0.015870404193163913,0.014558973998646252,20,1,20,0,1.0,0.00291421932284926,0.059348041036930005,1029.28552214689,2.9995637573694562,56.38716695329673,cache_hit,0.0008453515235545611,0,0,0.5021026724770917,-0.16698855062959253
13,0,13,sto,0.00025093535077758133,0.015840939074991147,0.017532137004309334,20,1,20,0,1.0,0.003068528473304006,0.06267023260713268,1029.28552214689,3.1583919318673126,59.59156512030378,cache_hit,0.0008401701011317375,0,0,0.5022067045475187,-0.16673890979243594
14,0,14,sto,0.00024999387096613646,0.01581119448258532,0.014081512999837287,20,1,20,0,1.0,0.0031956735741080337,0.06548756788162195,1029.28552214689,3.2892605433368054,62.33804031770014,cache_hit,0.0008354890629207652,0,0,0.5022872922118199,-0.16652043602410033
15,0,15,sto,0.0002490276237949729,0.015780609107223106,0.013964894998935051,20,1,20,0,1.0,0.003299778873125448,0.06783642251370242,1029.28552214689,3.3964146203942027,64.66510401679575,cache_hit,0.0008312609146234702,0,0,0.502344644517075,-0.16633288781217057
16,0,16,sto,0.00024802368716336787,0.01574876779825545,0.013808308998704888,20,1,20,0,1.0,0.0033853908282525935,0.06977892834645318,1029.28552214689,3.4845337663292626,66.63751583071524,cache_hit,0.000827430158614255,0,0,0.5023798183353505,-0.16617480266957682
