epoch,segment,local_epoch,loss,rmse,implicit_grad_seconds,cumulative_backward_seconds,grad_rate_norm,n_adjoint_queries,sto_cache_hit_rate,sto_cache_hits,sto_exact_queries,sto_kappa_recomputes,rho_max_seen,kappa,eta_max_seen,reason
0,0,0,0.00026835210155695677,0.016381456026768708,0.10503187699941918,0.10503187699941918,0.0009364543691275067,20,0.0,0,20,0,nan,inf,nan,cold_start
1,0,1,0.0002665006322786212,0.016324847082855667,0.015347296008258127,0.12037917300767731,0.000927840359084855,20,1.0,20,0,0,0.0051082061706325356,1029.28552214689,4.8410949077298095,cache_hit
2,0,2,0.0002647333312779665,0.016270627869813953,0.013511694996850565,0.13389086800452787,0.0009193186414044594,20,1.0,20,0,0,0.01026709209883852,1029.28552214689,9.730709584564693,cache_hit
3,0,3,0.0002630469389259815,0.01621872186474574,0.014483222999842837,0.1483740910043707,0.0009108623294414804,20,1.0,20,0,0,0.015504439982211394,1029.28552214689,14.695304598388825,cache_hit
4,0,4,0.00026144739240407944,0.016169334940067247,0.01346438200562261,0.16183847300999332,0.0009025188571247463,20,1.0,20,0,0,0.020780903293074766,1029.28552214689,19.697985237366375,cache_hit
5,0,5,0.00025993905728682876,0.01612262563253358,0.013594358999398537,0.17543283200939186,0.0008943161390268912,20,1.0,20,0,0,0.026082153218024172,1029.28552214689,24.72788953477205,cache_hit
6,0,6,0.0002585263573564589,0.0160787548447154,0.013788271011435427,0.18922110302082729,0.0008863002850087777,20,1.0,20,0,0,0.031375404824157654,1029.28552214689,29.74882953683393,cache_hit
7,0,7,0.0002572106895968318,0.016037789423634163,0.012807983992388472,0.20202908701321576,0.000878532100904101,20,1.0,20,0,0,0.03660382660531136,1029.28552214689,34.711484681173,cache_hit
8,0,8,0.00025599103537388146,0.015999719852981223,0.0137523089942988,0.21578139600751456,0.0008710559462486671,20,1.0,20,0,0,0.041718699010521214,1029.28552214689,39.570476168204586,cache_hit
9,0,9,0.0002548611373640597,0.015964370872792316,0.012945574999321252,0.2287269710068358,0.0008639458059606584,20,1.0,20,0,0,0.046636385296314815,1029.28552214689,44.24530520087336,cache_hit
10,0,10,0.00025380990700796247,0.015931412586709392,0.012911047000670806,0.24163801800750662,0.0008572519240435199,20,1.0,20,0,0,0.05127701995574483,1029.28552214689,48.66622358644403,cache_hit
11,0,11,0.0002528203767724335,0.01590032631025016,0.014068071002839133,0.25570608901034575,0.0008510476899915806,20,1.0,20,0,0,0.055534844696311196,1029.28552214689,52.73174860848373,cache_hit
12,0,12,0.00025186972925439477,0.015870404193163913,0.014558973998646252,0.270265063008992,0.0008453515235545611,20,1.0,20,0,0,0.059348041036930005,1029.28552214689,56.38716695329673,cache_hit
13,0,13,0.00025093535077758133,0.015840939074991147,0.017532137004309334,0.28779720001330134,0.0008401701011317375,20,1.0,20,0,0,0.06267023260713268,1029.28552214689,59.59156512030378,cache_hit
14,0,14,0.00024999387096613646,0.01581119448258532,0.014081512999837287,0.3018787130131386,0.0008354890629207652,20,1.0,20,0,0,0.06548756788162195,1029.28552214689,62.33804031770014,cache_hit
15,0,15,0.0002490276237949729,0.015780609107223106,0.013964894998935051,0.3158436080120737,0.0008312609146234702,20,1.0,20,0,0,0.06783642251370242,1029.28552214689,64.66510401679575,cache_hit
16,0,16,0.00024802368716336787,0.01574876779825545,0.013808308998704888,0.32965191701077856,0.000827430158614255,20,1.0,20,0,0,0.06977892834645318,1029.28552214689,66.63751583071524,cache_hit
17,0,17,0.000246973882894963,0.015715402727736985,0.014361844994709827,0.3440137620054884,0.000823942046108265,20,1.0,20,0,0,0.07139690508767473,1029.28552214689,68.33657931619716,cache_hit
18,0,18,0.00024587431107647717,0.015680379812889646,0.013895420008338988,0.3579091820138274,0.0008207408429651944,20,1.0,20,0,0,0.07277807006721274,1029.28552214689,69.85329104640427,cache_hit
19,0,19,0.0002447217993903905,0.015643586525806368,0.013435627988656051,0.3713448100024834,0.0008177883228526747,20,1.0,20,0,0,0.07400868287173833,1029.28552214689,71.26847417201913,cache_hit
20,0,20,0.00024351799220312387,0.015605063031052578,0.01355095200415235,0.3848957620066358,0.0008150371232873777,20,1.0,20,0,0,0.07518259695171028,1029.28552214689,72.67649733744697,cache_hit
21,0,21,0.00024226517416536808,0.015564869873062482,0.013422242001979612,0.3983180040086154,0.00081244367645109,20,1.0,20,0,0,0.07639185181155649,1029.28552214689,74.16781766511623,cache_hit
22,0,22,0.0002409634180366993,0.015522996425841864,0.013808378993417136,0.4121263830020325,0.0008099906721991171,20,1.0,20,0,0,0.07770456739448975,1029.28552214689,75.80396923079587,cache_hit
23,0,23,0.0002396164054516703,0.015479547973105362,0.013456000000587665,0.4255823830026202,0.0008076452080106132,20,1.0,20,0,0,0.07919905319311647,1029.28552214689,77.65953892513748,cache_hit
24,0,24,0.00023822588264010847,0.015434567782743658,0.014740844999323599,0.4403232280019438,0.0008053842652630193,20,1.0,20,0,0,0.08093458988764578,1029.28552214689,79.78745813611079,cache_hit
25,0,25,0.00023679461446590722,0.015388132260476162,0.013749371995800175,0.45407259999774396,0.0008031880170191717,20,1.0,20,0,0,0.0829648550185702,1029.28552214689,82.23459140453154,cache_hit
26,0,26,0.00023532409977633506,0.015340277043663034,0.014581299998098984,0.46865389999584295,0.0008010364400759067,20,1.0,20,0,0,0.08533069469175407,1029.28552214689,85.03385733940542,cache_hit
27,0,27,0.00023381714709103107,0.015291080638432035,0.01417759399919305,0.482831493995036,0.0007989063008083487,20,1.0,20,0,0,0.08806628655791988,1029.28552214689,88.2107641362178,cache_hit
28,0,28,0.0002322746440768242,0.015240559178613632,0.016356987005565315,0.4991884810006013,0.0007967893654612043,20,1.0,20,0,0,0.09118752483253241,1029.28552214689,91.77593526885902,cache_hit
29,0,29,0.00023069907911121845,0.015188781357015397,0.014350917990668677,0.51353939899127,0.0007946561188189073,20,1.0,20,0,0,0.09470677965150394,1029.28552214689,95.73474040987178,cache_hit
